war,salary,position
3.5,547500,B1
3.1,557200,B1
-0.9,559200,B1
2.7,560000,B1
0.9,572500,B1
3.6,585000,B1
2.2,2300000,B1
0.4,3400000,B1
1.7,4250000,B1
1.5,5125000,B1
2.9,7285714,B1
0.7,7500000,B1
5.2,11083333,B1
1.2,13000000,B1
5,14333333,B1
5.3,21359375,B1
3.5,25000000,B1
1.8,18500000,B1
1.1,12000000,B1
1.1,23000000,B1
-0.6,22400000,B1
-0.1,21625000,B1
-3.2,21169326,B1
3.8,546900,B2
3.8,555000,B2
2.1,555000,B2
5.2,569500,B2
5.3,657000,B2
2.8,1050000,B2
2,2550000,B2
2.4,3833333,B2
2.1,5100000,B2
4.5,5700000,B2
5,6000000,B2
2.6,8250000,B2
2.1,8500000,B2
4.9,9000000,B2
0.9,9000000,B2
2.3,11000000,B2
3.6,16500000,B2
2.1,13666667,B2
2.2,11000000,B2
3.4,545000,B3
6.6,547500,B3
2.5,548300,B3
3.3,555000,B3
3.6,567400,B3
7.6,599000,B3
2.5,930000,B3
1.8,2350000,B3
8,2828600,B3
3.9,2916666,B3
-1.3,4125000,B3
2.4,6500000,B3
6.2,12300000,B3
5.7,17750000,B3
0.5,14500000,B3
1.5,19000000,B3
0.7,604500,C
4.9,2900000,C
-0.4,4437500,C
4.7,7900000,C
0.4,8700000,C
2.5,20000000,C
2.8,21516666,CF
2.5,14250000,DH
1,20333333,DH
-1.7,18000000,DH
0.3,516426,LF
2.8,552500,LF
3.5,553000,LF
4.5,555968,LF
-0.3,556500,RF
0.6,556900,CF
4.5,560200,CF
2.4,560400,CF
0.9,563560,CF
4.1,570100,CF
3.1,575000,CF
2.7,587500,CF
3.5,602500,CF
3.2,604500,CF
3,605094,CF
4.4,620500,CF
3.1,1500000,CF
5,2825000,RF
0.7,2900000,RF
0.8,3000000,RF
2,3250000,RF
3.9,3300000,RF
0.9,3550000,RF
1.3,4600000,RF
2.5,4700000,RF
3,4700000,RF
2.7,5950000,RF
3,6050000,LF
2.8,6100000,LF
7.6,7178571,LF
3.7,8166666,LF
0,8833333,LF
2.8,9000000,LF
10.4,10500000,LF
2.7,10500000,LF
2.6,11000000,LF
3.5,12000000,LF
2.9,12000000,LF
5.7,14000000,LF
3.1,17700000,CF
2.3,20000000,CF
3.4,21625000,CF
5.9,23750000,RF
9.8,34083333,RF
4.3,25000000,RF
1.6,21500000,RF
0.4,17393152,RF
2.6,12000000,RF
1.6,21000000,RF
0,11000000,RF
2.7,1166666,RF
9,7400000,SP
7.5,22142856,SP
6.6,28000000,SP
6,6750000,SP
5.9,7500000,SP
5.8,6525000,SP
5.5,10700000,SP
5.4,573000,SP
5.4,604975,SP
5.2,8750000,SP
4.8,558200,SP
4.2,7500000,SP
4.2,558500,SP
4.1,550000,SP
4.1,550000,SP
3.9,571000,SP
3.8,2200000,SP
3.5,4175000,SP
3.4,550300,SP
3.3,13200000,SP
3.1,570000,SP
3,13000000,SP
2.9,7000000,SP
2.8,31954483,SP
2.8,800000,SP
2.8,551000,SP
2.7,569500,SP
2.6,4200000,SP
2.6,6300000,SP
2.5,555000,SP
2.4,21125000,SP
2.4,30000000,SP
2.4,579200,SP
2.4,8750000,SP
2.4,5600000,SP
2.3,555000,SP
2.2,1500000,SP
2.2,22500000,SP
2.2,18000000,SP
2.2,12000000,SP
2.2,6475000,SP
2.1,562000,SP
2.1,555000,SP
1.9,30000000,SP
1.9,555000,SP
1.9,555000,SP
1.7,8850000,SP
1.7,575000,SP
1.4,554250,SP
1.4,6000000,SP
1.3,9166667,SP
1.2,21250000,SP
1,1640000,SP
0.7,8166666,SP
0.1,555000,SP
1.5,548940,SS
5.1,555000,SS
1.9,565000,SS
2.6,570000,SS
4.8,577200,SS
7.6,623200,SS
2,1000000,SS
1,1180000,SS
1.8,1275000,SS
2.6,1600000,SS
-0.3,2500000,SS
3.8,3125000,SS
3.6,4850000,SS
1.2,6825000,SS
4.9,7050000,SS
4.7,8250000,SS
3.7,9800000,SS
5.4,11000000,SS
6.2,16000000,SS
2,15200000,SS
