war,salary,position
1.5,4250000,B1
2.1,543000,B1
2.9,10333333,B1
2.2,7285714,B1
0.8,2500000,B1
3.2,26000000,B1
2.6,8833333,B1
3.3,1500000,B1
4.1,4000000,B1
1.8,5500000,B1
3.2,4333333,B1
6.5,22000000,B1
4.4,20859375,B1
-0.4,549000,B1
0.6,549000,B1
3.2,12000000,B2
4.4,11000000,B2
0.1,6000000,B2
3.5,8000000,B2
2.2,2550000,B2
4.2,3475000,B2
1.6,4800000,B2
5,6500000,B2
3.6,4687500,B2
4,1833333,B2
-1.4,600000,B2
2,600000,B2
-0.3,855000,B2
3.4,855000,B2
0,546000,B2
2.2,546000,B2
3.1,24000000,B2
1.6,13968236,B2
3.6,5800000,B3
-1,544400,B3
5,2625000,B3
-2,537120,B3
1.9,12000000,B3
2.5,539400,B3
2,1050000,B3
6.7,1050000,B3
4.8,11750000,B3
5.7,11750000,B3
4.3,11000000,B3
0.9,971400,B3
2,537500,B3
0.3,537500,B3
4,13000000,B3
3.8,13000000,B3
3.4,11500000,B3
2.4,8700000,B3
2.1,6500000,B3
4.3,595000,B3
3.9,595000,B3
1.5,3000000,B3
-0.3,573300,B3
2.5,573300,B3
1.1,560000,B3
-0.5,560000,B3
2.9,22511111,C
4.7,22511111,C
1.7,557900,C
3.7,562500,C
4.4,562500,C
2.3,14000000,C
3.6,2625000,CF
2.9,15000000,CF
2.5,3500000,CF
3.5,535600,CF
1.9,535600,CF
4.6,3600000,CF
6.5,547500,CF
1.5,547500,CF
3.3,11000000,CF
2.9,7300000,CF
4.5,555000,CF
1.4,535000,CF
3.6,535000,CF
0.6,10000000,DH
3.5,536000,DH
1.6,536000,DH
2.4,3000000,DH
2.7,5000000,LF
6.8,577500,LF
1.6,552500,LF
2.3,549000,LF
2,549000,LF
5.2,22125000,LF
2.8,540000,LF
-0.6,8000000,LF
1.2,1800000,RF
3.7,13000000,CF
2.6,3678571,CF
-0.1,17000000,LF
5.4,13000000,CF
4.2,12333333,RF
1.2,12333333,RF
6.6,6333333,CF
5,4666666,LF
4,535000,CF
8.3,11000000,RF
2.9,5000000,RF
2.7,542200,RF
3.3,542200,RF
4,572200,RF
5.1,2700000,RF
2.6,541500,RF
2.6,13000000,RF
2.6,8214285,RF
2.1,3900000,RF
2.4,546450,RF
0.5,20000000,RF
7.3,14500000,RF
-1.1,16000000,RF
0,20428571,RF
-0.1,546700,RF
1.4,950000,RF
5.3,950000,RF
3,3950000,SP
7.6,12000000,SP
7.2,7700000,SP
6.4,22142856,SP
5.9,16428571,SP
5.6,550975,SP
5.4,6500000,SP
4.9,31876966,SP
4.8,547000,SP
4.5,544000,SP
4.5,4958333,SP
4.3,33000000,SP
4.1,28000000,SP
4.1,4050000,SP
4,7000000,SP
3.8,12000000,SP
3.8,19800000,SP
3.7,11000000,SP
3.6,551900,SP
3.4,3400000,SP
3.4,3750000,SP
3.3,570400,SP
3.2,3800000,SP
3.1,2775000,SP
3,4450000,SP
2.9,16000000,SP
2.9,25000000,SP
2.8,3550000,SP
2.8,1640000,SP
2.8,4315000,SP
2.7,3575000,SP
2.7,13500000,SP
2.7,546200,SP
2.6,22000000,SP
2.6,14500000,SP
2.6,3450000,SP
2.5,15637500,SP
2.4,537000,SP
2.3,1750000,SP
2.3,6000000,SP
2.2,4200000,SP
2.2,10000000,SP
2.2,4650000,SP
2.2,7666667,SP
2.2,1750000,SP
2,20125000,SP
2,552100,SP
1.8,8000000,SP
1.7,544300,SP
1.5,7500000,SP
1.2,7500000,SP
1.2,536500,SP
1,6466666,SP
1,7000000,SP
0.6,16000000,SP
0.2,535000,SP
6.7,4350000,SS
1.5,4325000,SS
3.2,8200000,SS
4.1,6200000,SS
5.3,6500000,SS
2,8000000,SS
7.6,3725000,SS
2,5100000,SS
0.9,5325000,SS
0.9,4500000,SS
2,579300,SS
5.7,579300,SS
-0.5,540000,SS
1.4,540000,SS
-0.2,609000,SS
-1.3,850000,SS
0.1,850000,SS
3.9,15250000,SS
1.7,540000,SS
1.6,540000,SS
3.8,575500,SS
6,575500,SS
2.3,540000,SS
-0.2,540000,SS
0.8,538100,SS
