war,salary,position
4,12285714,B1
4,21359375,B1
4.8,555000,B1
4.4,20500000,B1
2.5,587000,B1
4.8,575000,B1
3.9,575000,B1
3.2,10000000,B1
1.7,573200,B1
2.2,575000,B1
2.9,15000000,B1
2.2,559800,B1
1.9,16000000,B1
1.6,558600,B1
0.7,25000000,B1
0.5,17200000,B1
1.3,21000000,B1
-0.4,21625000,B1
5.4,12000000,B2
3.5,9500000,B2
3.6,605200,B2
4.6,575000,B2
2.8,10000000,B2
2.9,1187500,B2
4,4825000,B2
3.7,6700000,B2
0.6,560000,B2
2.2,584000,B2
1.7,7750000,B2
1.3,12000000,B2
0.3,8333333,B2
1.3,3600000,B2
1.1,14666667,B2
1,4625000,B2
8.5,640500,B3
7,18800000,B3
5.9,26000000,B3
4.6,567714,B3
4.5,7285714,B3
4.8,12900000,B3
5.7,575000,B3
4.9,23000000,B3
5.9,614500,B3
3.4,19000000,B3
3,567225,B3
6.1,580000,B3
3.1,585000,B3
3.7,6166666,B3
3.1,12000000,B3
3.3,4150000,B3
1.9,3500000,B3
0.6,562000,B3
2,15500000,B3
1.9,578000,B3
0.1,579500,B3
5.2,18250000,C
5.7,5900000,C
3.5,2933333,C
1.4,8000000,C
8.6,34083333,CF
7.1,2600000,CF
6.5,12000000,CF
2,21516666,CF
3,10666666,CF
2.5,557800,CF
1.4,8550000,CF
1.5,15000000,CF
1.5,5800000,CF
0,578400,CF
4.3,14300000,DH
1.7,21000000,DH
-0.3,30000000,DH
-0.4,28000000,DH
-1,16500000,DH
4.8,578300,LF
3.6,575500,LF
5.6,560000,LF
4.2,16000000,LF
3,5000000,LF
2.6,3390000,LF
1.9,18158038,LF
3.3,4100000,LF
3.6,7500000,LF
1.9,2333333,LF
2.5,12250000,LF
2,717500,LF
1.2,4190000,LF
0,1950000,LF
3.2,23750000,LF
-0.1,3000000,CF
1.3,1550000,RF
7.8,9928571,RF
7.8,605000,RF
6.6,20000000,RF
4,557400,RF
3.6,4666666,RF
4.6,11538461,RF
3.7,4025000,RF
2.8,9950000,RF
4.4,6200000,RF
2.3,8700000,RF
1,570500,RF
1.8,3500000,RF
1.2,9700000,RF
2.5,10833333,RF
1.9,20000000,RF
1.5,16500000,RF
1,13000000,RF
0.5,5000000,RF
2.3,555000,SP
1,559100,SP
5.6,559600,SP
4.7,562100,SP
3.4,565000,SP
3,565000,SP
2.1,565100,SP
5,570000,SP
5.1,573000,SP
2.2,578175,SP
1.5,578250,SP
2.3,580000,SP
3.3,582500,SP
1.5,590000,SP
4.4,620000,SP
3.7,900000,SP
2,1500000,SP
2.2,2000000,SP
2.4,2125000,SP
2,2250000,SP
1.9,4000000,SP
3.7,4300000,SP
2,4500000,SP
3.4,5562500,SP
4.7,5975000,SP
4.4,6000000,SP
1.7,6000000,SP
2.4,6050000,SP
3.9,7400000,SP
4.1,7405000,SP
4.4,7500000,SP
7,9000000,SP
6.8,9333333,SP
6.5,42142857,SP
6.4,28000000,SP
5.7,36428571,SP
5.4,32421884,SP
4.8,17900000,SP
4.1,561500,SP
4,561500,SP
3.4,31000000,SP
3.3,2600000,SP
3.3,13000000,SP
3.3,22000000,SP
2.8,27500000,SP
2.6,20000000,SP
1.8,21125000,SP
1.6,11166666,SP
1.5,19800000,SP
1,17000000,SP
6.8,12000000,SS
5.8,5000000,SS
7.6,5900000,SS
3.5,1400000,SS
3.5,3725000,SS
4,4158333,SS
4.4,10550000,SS
4.4,5200000,SS
3.3,4000000,SS
2.4,557500,SS
4.1,2000000,SS
2.7,575500,SS
3.4,561500,SS
1.5,585000,SS
2.3,15050000,SS
2.4,3662500,SS
2.8,562400,SS
1.4,5000000,SS
1.6,2500000,SS
1.9,3155000,SS
1.4,15250000,SS
0.4,15200000,SS
-0.4,565700,SS
